  r       alpha//        alpha|_ 
 0.40     1.92895        1.85033
 0.60     2.49001        2.28254
 0.80     3.20436        2.78253
 1.00     4.08782        3.34102
 1.20     5.14652        3.94397
 1.35     6.05577        4.41713
 1.40     6.38049        4.57769
 1.45     6.71562        4.73931
 1.60     7.78072        5.22760
 1.80     9.32045        5.87797
 2.00    10.96438        6.51086
 2.20    12.63765        7.10967
 2.40    14.25680        7.65682
 2.60    15.72316        8.13575
 2.80    16.92119        8.53839
 3.00    17.77307        8.85286
 3.20    18.21389        9.07902
 3.40    18.23872        9.22278
 3.60    17.89054        9.29657
 3.80    17.24953        9.31506
 4.00    16.41833        9.29535
